epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9226015210151672,0.9651989340782166,0.0010000000474974513,0.43199390172958374,0.9066731333732605,0.9248819947242737,0.9723360538482666,0.983356237411499,0.24332596361637115,0.945608913898468,0.9969230890274048
1,0.9561931490898132,0.9788920879364014,0.0010000000474974513,0.24107378721237183,0.934177577495575,0.9720950126647949,0.9746413826942444,0.9856114387512207,0.16433778405189514,0.9513499140739441,0.9955244660377502
2,0.9609324932098389,0.9801574945449829,0.0010000000474974513,0.187688410282135,0.9383575320243835,0.9782961010932922,0.9770748019218445,0.9867904186248779,0.13065041601657867,0.9523175358772278,1.0
3,0.9645190238952637,0.9812383651733398,0.0010000000474974513,0.15747176110744476,0.9409504532814026,0.9836516380310059,0.9759221076965332,0.9855468273162842,0.11964023858308792,0.9522029161453247,0.9974825382232666
4,0.9688100218772888,0.981328010559082,0.0010000000474974513,0.13936269283294678,0.9457071423530579,0.9880910515785217,0.9770748019218445,0.9860484004020691,0.11272101104259491,0.9523175358772278,1.0
5,0.9686499238014221,0.9808856248855591,0.0010000000474974513,0.13512609899044037,0.9450283050537109,0.9885138273239136,0.9770748019218445,0.9857272505760193,0.10843908041715622,0.9523175358772278,1.0
6,0.967272937297821,0.980420708656311,0.0010000000474974513,0.14024963974952698,0.9448685646057129,0.9854837656021118,0.9729764461517334,0.9822726845741272,0.1308629959821701,0.9523937702178955,0.9904894828796387
7,0.968457818031311,0.9810799360275269,0.0010000000474974513,0.13619665801525116,0.945546567440033,0.9874568581581116,0.9770748019218445,0.9853430986404419,0.10785925388336182,0.9523175358772278,1.0
8,0.9650313854217529,0.9816225171089172,0.0010000000474974513,0.1415128856897354,0.9420260787010193,0.9835811257362366,0.9770748019218445,0.9855355620384216,0.11796128749847412,0.9523175358772278,1.0
9,0.9701229929924011,0.981698215007782,0.0010000000474974513,0.1316281259059906,0.9476029872894287,0.9889366626739502,0.9740010499954224,0.985056459903717,0.11307474225759506,0.9522532224655151,0.9930070042610168
10,0.9692583680152893,0.9819766283035278,0.0010000000474974513,0.13303764164447784,0.9470838904380798,0.9875273108482361,0.9740010499954224,0.980505108833313,0.12240273505449295,0.9524959921836853,0.9927272796630859
11,0.9679454565048218,0.9815047383308411,0.0010000000474974513,0.13903461396694183,0.9462110996246338,0.9854837656021118,0.9765625,0.985446035861969,0.10952731966972351,0.9522666931152344,0.9988811016082764
12,0.9688740968704224,0.9812440872192383,0.0010000000474974513,0.13653966784477234,0.946256160736084,0.9875977635383606,0.9745132923126221,0.9854736924171448,0.11246853321790695,0.9523044228553772,0.9941259026527405
13,0.971756100654602,0.9837163090705872,0.0005000000237487257,0.12392333149909973,0.9488701224327087,0.9912620782852173,0.9754098653793335,0.9859240651130676,0.11040925234556198,0.9521518349647522,0.996363639831543
14,0.9697707295417786,0.9820963740348816,0.0005000000237487257,0.13015887141227722,0.9479878544807434,0.9876682162284851,0.9747694730758667,0.9854877591133118,0.10711656510829926,0.9523299336433411,0.9946852922439575
15,0.972812831401825,0.9832533597946167,0.0005000000237487257,0.11955539137125015,0.9503780603408813,0.991966724395752,0.9769467115402222,0.985477864742279,0.10307297855615616,0.9523048400878906,0.9997202754020691
16,0.9725887179374695,0.9840428233146667,0.0005000000237487257,0.11396664381027222,0.9493833184242249,0.9926009178161621,0.9764344096183777,0.9856021404266357,0.10133275389671326,0.9522539377212524,0.9986013770103455
17,0.9730370044708252,0.9831780195236206,0.0005000000237487257,0.11592589318752289,0.9501584768295288,0.9927418828010559,0.9770748019218445,0.9856968522071838,0.09935522079467773,0.9523175358772278,1.0
18,0.9709555506706238,0.982028067111969,0.0005000000237487257,0.12389934808015823,0.9487837553024292,0.9895004034042358,0.9763063788414001,0.9861797094345093,0.1011994332075119,0.9522411823272705,0.9983216524124146
19,0.9688740968704224,0.9820948243141174,0.0005000000237487257,0.1322394758462906,0.9489844441413879,0.984426736831665,0.9765625,0.9863786697387695,0.10422845929861069,0.9522666931152344,0.9988811016082764
20,0.9702190160751343,0.9827249050140381,0.0005000000237487257,0.12674279510974884,0.9492512941360474,0.9872454404830933,0.9746413826942444,0.9865353107452393,0.10569464415311813,0.9523171782493591,0.9944055676460266
21,0.9707954525947571,0.9825555086135864,0.0005000000237487257,0.12328200042247772,0.9491915106773376,0.9886547923088074,0.9716957211494446,0.9868567585945129,0.1188037246465683,0.9525094628334045,0.9874125719070435
22,0.9692263603210449,0.9815561771392822,0.0005000000237487257,0.13290326297283173,0.9496329426765442,0.9844971895217896,0.9725922346115112,0.9866815805435181,0.10760742425918579,0.9523553252220154,0.9896503686904907
23,0.9729409217834473,0.9834701418876648,0.0002500000118743628,0.11554953455924988,0.950878381729126,0.9916848540306091,0.9770748019218445,0.9862293004989624,0.1058087944984436,0.9523175358772278,1.0
